@node: #id_pdg,%+voisins,cause,motclef,type,content,label
a0,,csg,"['retraite', 'suppression', 'coût', 'csg', 'euro', 'indexation', 'personne', 'impôt', 'coût de la vie']",1,"après avoir travaillé toute ma vie, mes rentes se montent à 1700 euros et ne me suffisent malheureusement pas à boucler mes mois. pour vivre décemment, toute personne a besoin de 2500 euros !

je propose trois choses à ce sujet :

- suppression totale de la csg pour les retraites inférieures à 2500 euros
- indexation annuelle au réel coût de la vie.
- baisse de 50% de l'impôt

ps : je profite de cette tribune pour proposer mes services gracieux d'écrivain, voire de co-gestionnaire de cette plateforme citoyenne.


",csg
a1,,test,[],1,ceci est juste une proposition,test
a2,"a2,a2,a432,a432,a610,a610,a630,a630,a834,a834,a1016,a1016,a1020,a1020,a1178,a1178,a1288,a1288,a1636,a1636,a1876,a1876,a1909,a1909,a2122,a2122,a2392,a2392,a2540,a2540,a2727,a2727,a2829,a2829,a2836,a2836,a3691,a3691,a3778,a3778,a3847,a3847,a4006,a4006,a4145,a4145,a4371,a4371,a4468,a4468",,"['respect', 'peuple']",1,le respect du peuple est l'un des premiers manquements de nos dirigeants,
a3,"a3,a3,a205,a205,a341,a341,a469,a469,a481,a481,a503,a503,a686,a686,a737,a737,a1022,a1022,a1380,a1380,a1420,a1420,a1532,a1532,a1871,a1871,a2046,a2046,a2297,a2297,a2361,a2361,a2404,a2404,a2570,a2570,a2638,a2638,a2768,a2768,a2774,a2774,a2983,a2983,a3012,a3012,a3093,a3093,a3420,a3420,a3474,a3474,a3511,a3511,a3569,a3569,a3662,a3662,a3955,a3955,a4079,a4079,a4137,a4137,a4164,a4164",assemblée nationale,"['société', 'proportionnelle']",1,"dissolution immédiate de l'assemblée aujourd'hui composée de personnes inexpérimentées et non représentatives de notre société.
introduction d'une dose 30 à 50% de la proportionnelle.
",assemblée nationale
a4,"a4,a4,a36,a36,a244,a244,a302,a302,a811,a811,a893,a893,a967,a967,a1272,a1272,a1652,a1652,a1655,a1655,a1855,a1855,a1901,a1901,a2057,a2057,a2453,a2453,a2545,a2545,a2557,a2557,a2671,a2671,a2689,a2689,a2690,a2690,a2746,a2746,a2877,a2877,a3153,a3153,a3204,a3204,a3295,a3295,a3572,a3572,a3632,a3632,a3776,a3776,a4362,a4362,a4377,a4377,a4533,a4533",associations,"['association', 'argent', 'contrôle']",1,"• audit et contrôle de l’argent donné aux associations, afin de resserrer et d’éliminer le périmètre des assos « paravents » inutiles et ne respectant pas ou plus les critères d’éligibilités",associations
a5,"a5,a5,a1194,a1194,a1288,a1288,a1311,a1311,a1876,a1876,a2392,a2392,a2727,a2727,a2829,a2829,a3837,a3837,a3942,a3942,a4131,a4131,a4256,a4256",elus en general,"['république', 'avantage', 'peuple']",1,"passer a la 6ème république 
supprimer tout les avantages de ces derniers.  
ceux ci doivent être élus par le peuple uniquement, même chose pour le co seul d'état.",elus en general
a6,"a6,a6,a262,a262,a955,a955,a1319,a1319,a1957,a1957,a2037,a2037,a2085,a2085,a2309,a2309,a2464,a2464,a3068,a3068,a3404,a3404,a4088,a4088",politique étrangère,"['mise en place', 'politique']",1,mise en place d’une politique étrangère respectueuse des peuples et arrêt des guerres économiques,politique étrangère
a7,"a7,a7,a280,a280,a540,a540,a647,a647,a794,a794,a1813,a1813,a1896,a1896,a2315,a2315,a2464,a2464,a2630,a2630,a2827,a2827,a2911,a2911,a2912,a2912,a3220,a3220,a3298,a3298,a3525,a3525,a3649,a3649,a3686,a3686,a3853,a3853,a3939,a3939,a4348,a4348,a4424,a4424,a4433,a4433",ric,"['domaine', 'mise en place', 'ric']",1,"• mise en place du ric en tous domaines
abrogatoire
législatif 
constituant
révocatoire",ric
a8,"a8,a8,a18,a18,a154,a154,a506,a506,a543,a543,a669,a669,a786,a786,a1122,a1122,a1231,a1231,a1632,a1632,a1776,a1776,a2075,a2075,a2112,a2112,a2359,a2359,a2368,a2368,a2419,a2419,a2487,a2487,a2600,a2600,a3156,a3156,a3774,a3774,a4212,a4212",smic,"['smic', 'euro']",1,"augmentation immédiate du smic à 1800 euros net.

personne ne peut vivre avec moins.",smic
a9,"a9,a9,a1008,a1008,a1072,a1072,a2624,a2624,a3061,a3061,a3184,a3184,a3516,a3516,a4305,a4305",tva fixe,"['nécessite', 'luxe', 'produit', 'tva']",1,"tva réduite pour les produits première nécessite
tva superieure produit de luxe",tva fixe
